EstacaoCodigo;Data;Maxima;Minima;Media
66380000;01/09/1990;102.068;40.364;49.814
66380000;01/08/1990;45.879;41.135;42.827
66380000;01/07/1990;61.239;44.276;48.425
66380000;01/06/1990;55.935;49.978;53.05
66380000;01/01/1990;112.042;67.652;83.085
66380000;01/12/1989;102.068;60.342;75.349
66380000;01/11/1989;128.239;41.135;64.859
66380000;01/10/1989;73.337;38.837;48.6
66380000;01/09/1989;56.806;44.276;48.084
66380000;01/08/1989;71.423;46.688;52.896
66380000;01/07/1989;79.192;49.978;55.743
66380000;01/06/1989;70.473;55.935;60.786
66380000;01/05/1989;139.078;63.047;80.842
66380000;01/04/1989;180.51;104.255;121.722
66380000;01/03/1989;208.518;104.255;138.751
66380000;01/02/1989;220.141;104.255;128.744
66380000;01/01/1989;589.083;65.989;144.912
66380000;01/12/1988;150.274;46.538;76.329
66380000;01/11/1988;179.678;38.441;58.237
66380000;01/10/1988;95.625;36.209;42.826
66380000;01/09/1988;41.556;34.771;37.091
66380000;01/08/1988;42.36;34.771;40.22
66380000;01/07/1988;49.171;42.36;45.329
66380000;01/06/1988;60.699;44.835;55.525
66380000;01/05/1988;109.206;60.699;80.008
66380000;01/04/1988;263.42;102.995;146.511
66380000;01/03/1988;315.098;95.625;159.339
66380000;01/02/1988;201.84;73.9;125.258
66380000;01/01/1988;330.949;82.359;146.072
66380000;01/12/1987;138.507;83.551;107.558
66380000;01/11/1987;120.533;42.36;62.208
66380000;01/10/1987;83.551;36.209;43.744
66380000;01/09/1987;51.902;39.204;41.291
66380000;01/08/1987;43.175;39.978;41.407
66380000;01/07/1987;49.171;42.36;44.706
66380000;01/06/1987;59.676;49.171;53.961
66380000;01/05/1987;223.52;58.664;87.075
66380000;01/04/1987;188.715;101.761;126.103
66380000;01/03/1987;167.544;76.271;109.91
66380000;01/02/1987;171.068;137.698;160.286
66380000;01/01/1987;181.874;78.085;121.538
66380000;01/12/1986;218.676;46.141;80.746
66380000;01/11/1986;62.963;37.596;49.767
66380000;01/10/1986;68.817;34;39.763
66380000;01/09/1986;47.789;34;38.306
66380000;01/08/1986;39.84;33.303;35.386
66380000;01/07/1986;46.141;34;37.007
66380000;01/06/1986;54.669;37.596;44.321
66380000;01/05/1986;97.217;44.523;58.793
66380000;01/04/1986;102.674;61.069;76.905
66380000;01/03/1986;254.855;58.283;83.304
66380000;01/02/1986;167.081;56.462;86.486
66380000;01/01/1986;148.942;40.602;60.938
66380000;01/12/1985;52.906;35.417;40.809
66380000;01/11/1985;55.562;38.336;42.838
66380000;01/10/1985;49.466;35.417;40.565
66380000;01/09/1985;45.328;36.136;39.043
66380000;01/08/1985;39.84;36.862;38.101
66380000;01/07/1985;47.789;39.084;42.071
66380000;01/06/1985;51.172;44.523;47.269
66380000;01/05/1985;83.488;51.172;61.964
66380000;01/04/1985;169.735;70.826;100.62
66380000;01/03/1985;217.214;65.152;106.486
66380000;01/02/1985;194.325;62.058;90.402
66380000;01/01/1985;227.525;72.564;105.691
66380000;01/12/1984;123.228;56.023;76.765
66380000;01/11/1984;97.217;34.9;54.175
66380000;01/10/1984;61.038;34.9;42.808
66380000;01/09/1984;50.197;34.059;38.793
66380000;01/08/1984;55.037;33.225;36.997
66380000;01/07/1984;41.868;36.602;39.129
66380000;01/06/1984;52.115;41.868;46.375
66380000;01/05/1984;79.125;51.153;65.785
66380000;01/04/1984;187.37;71.489;92.379
66380000;01/03/1984;256.407;74.73;107.92
66380000;01/02/1984;117.378;61.038;81.325
66380000;01/01/1984;181.874;71.489;94.125
66380000;01/12/1983;329.835;71.489;110.997
66380000;01/11/1983;197.134;53.083;91.793
66380000;01/10/1983;92.933;33.225;51.528
66380000;01/09/1983;47.365;31.578;36.224
66380000;01/08/1983;36.602;31.578;33.313
66380000;01/07/1983;40.087;34.059;37.083
66380000;01/06/1983;88.721;39.206;45.743
66380000;01/05/1983;62.058;44.588;49.184
66380000;01/04/1983;110.5;55.037;74.068
66380000;01/03/1983;199.957;65.152;90.149
66380000;01/02/1983;160.513;56.023;80.002
66380000;01/01/1983;152.763;62.058;81.323
66380000;01/12/1982;109.369;45.508;65.04
66380000;01/11/1982;115.068;43.675;57.479
66380000;01/10/1982;84.583;40.974;51.382
66380000;01/09/1982;81.354;38.331;46.706
66380000;01/08/1982;74.73;38.331;42.894
66380000;01/07/1982;48.303;40.974;43.809
66380000;01/06/1982;62.058;47.365;51.791
66380000;01/05/1982;82.476;58.012;67.371
66380000;01/04/1982;238.015;81.354;108.141
66380000;01/03/1982;238.015;98.3;150.238
66380000;01/02/1982;264.221;93.997;139.485
66380000;01/01/1982;191.531;87.679;126.6
66380000;01/12/1981;265.794;46.269;110.364
66380000;01/11/1981;121.941;47.838;69.01
66380000;01/10/1981;84.65;36.563;45.878
66380000;01/09/1981;42.435;38;39.636
66380000;01/08/1981;41.683;39.458;40.483
66380000;01/07/1981;47.051;41.683;44.337
66380000;01/06/1981;65.456;47.051;53.89
66380000;01/05/1981;150.817;47.838;87.985
66380000;01/04/1981;270.535;131.847;171.093
66380000;01/03/1981;354.069;44.1;160.782
