system:index;B1_median;B2_count;B2_median;B3_median;B4_median;B5_median;B6_median;B7_median;Codigo;Estacao;cloud_cover;cloud_qa_count;date;img_qual;lat;lon;nd_median;pixel_qa_median;radsat_qa_median;sensor;solar_az;solar_zen;sr_atmos_opacity_median;sr_cloud_qa_median;.geo
1_LT05_225073_19910611_00000000000000000000;388;4;614;651;656;569;2869;258;66870000;COXIM;20;0;11/06/1991;9;-18.508.158.838.633.000;-5.476.266.594.647.040;-0.038038884;96;0;LANDSAT_5;43.892.239;56.548;9;8;"{""type"":""MultiPoint"",""coordinates"":[]}"
1_LT05_225073_19910627_00000000000000000000;463;8;747;957;496;108;2929;93;66870000;COXIM;0;0;27/06/1991;7;-18.508.158.838.633.000;-5.476.266.594.647.040;-0.747368421;68;0;LANDSAT_5;44.285.713;57.253.906;9;36;"{""type"":""MultiPoint"",""coordinates"":[]}"
1_LT05_225073_19910814_00000000000000000000;675;8;935;1092;756;258;2942;222;66870000;COXIM;0;0;14/08/1991;9;-18.508.158.838.633.000;-5.476.266.594.647.040;-0.567476949;68;0;LANDSAT_5;52.736.549;51.568.409;14;32;"{""type"":""MultiPoint"",""coordinates"":[]}"
1_LT05_225073_19910830_00000000000000000000;1106;7;1255;1312;1232;470;2938;239;66870000;COXIM;2;0;30/08/1991;9;-18.508.158.838.633.000;-5.476.266.594.647.040;-0.455072464;96;0;LANDSAT_5;57.510.609;47.488.377;360;32;"{""type"":""MultiPoint"",""coordinates"":[]}"
1_LT05_225073_19911118_00000000000000000000;668;8;1062;1294;1213;287;2955;151;66870000;COXIM;15;0;18/11/1991;9;-18.508.158.838.633.000;-5.476.266.594.647.040;-0.574814815;66;0;LANDSAT_5;96.546.921;33.041.355;187;32;"{""type"":""MultiPoint"",""coordinates"":[]}"
1_LT05_225073_19920325_00000000000000000000;762;8;1146;1318;1477;632;2865;360;66870000;COXIM;19;0;25/03/1992;9;-18.508.158.838.633.000;-5.476.266.594.647.040;-0.271049596;66;0;LANDSAT_5;66.602.974;4.468.457;95;1;"{""type"":""MultiPoint"",""coordinates"":[]}"
1_LT05_225073_19920613_00000000000000000000;557;8;906;981;817;258;2933;91;66870000;COXIM;1;0;13/06/1992;7;-18.508.158.838.633.000;-5.476.266.594.647.040;-0.556701031;68;0;LANDSAT_5;43.745.102;56.664.768;9;32;"{""type"":""MultiPoint"",""coordinates"":[]}"
1_LT05_225073_19920731_00000000000000000000;601;8;889;1045;708;241;2929;136;66870000;COXIM;0;0;31/07/1992;9;-18.508.158.838.633.000;-5.476.266.594.647.040;-0.573451327;68;0;LANDSAT_5;49.617.924;54.366.219;12;32;"{""type"":""MultiPoint"",""coordinates"":[]}"
1_LT05_225073_19920816_00000000000000000000;743;7;1007;1051;923;343;2920;116;66870000;COXIM;20;0;16/08/1992;9;-18.508.158.838.633.000;-5.476.266.594.647.040;-0.491851852;96;0;LANDSAT_5;53.671.993;51.103.012;193;32;"{""type"":""MultiPoint"",""coordinates"":[]}"
1_LT05_225073_19920917_00000000000000000000;824;6;1139;1246;1305;669;2883;473;66870000;COXIM;38;0;17/09/1992;9;-18.508.158.838.633.000;-5.476.266.594.647.040;-0.259955752;66;0;LANDSAT_5;64.850.044;42.613.506;255;1;"{""type"":""MultiPoint"",""coordinates"":[]}"
1_LT05_225073_19921003_00000000000000000000;759;8;1218;1510;1763;356;2915;210;66870000;COXIM;63;0;03/10/1992;9;-18.508.158.838.633.000;-5.476.266.594.647.040;-0.547649301;66;0;LANDSAT_5;72.347.908;385.425;101;1;"{""type"":""MultiPoint"",""coordinates"":[]}"
1_LT05_225073_19921019_00000000000000000000;620;8;1031;1301;1330;215;2942;94;66870000;COXIM;3;0;19/10/1992;9;-18.508.158.838.633.000;-5.476.266.594.647.040;-0.654895666;66;0;LANDSAT_5;8.106.234;35.454.449;44;0;"{""type"":""MultiPoint"",""coordinates"":[]}"
1_LT05_225073_19921222_00000000000000000000;625;8;1253;1743;1807;215;2942;58;66870000;COXIM;0;0;22/12/1992;9;-18.508.158.838.633.000;-5.476.266.594.647.040;-0.714285714;66;0;LANDSAT_5;104.290.848;36.689.224;29;32;"{""type"":""MultiPoint"",""coordinates"":[]}"
1_LT05_225073_19930224_00000000000000000000;651;8;1112;1439;1289;202;2947;99;66870000;COXIM;25;0;24/02/1993;9;-18.508.158.838.633.000;-5.476.266.594.647.040;-0.692541857;66;0;LANDSAT_5;83.122.643;42.234.943;97;32;"{""type"":""MultiPoint"",""coordinates"":[]}"
1_LT05_225073_19930312_00000000000000000000;531;8;912;1180;878;300;2960;105;66870000;COXIM;1;0;12/03/1993;9;-18.508.158.838.633.000;-5.476.266.594.647.040;-0.504950495;68;0;LANDSAT_5;74.219.727;43.596.752;28;32;"{""type"":""MultiPoint"",""coordinates"":[]}"
1_LT05_225073_19930413_00000000000000000000;468;8;892;1124;887;177;2947;74;66870000;COXIM;0;0;13/04/1993;9;-18.508.158.838.633.000;-5.476.266.594.647.040;-0.668849392;68;0;LANDSAT_5;57.599.594;47.771.332;9;32;"{""type"":""MultiPoint"",""coordinates"":[]}"
1_LT05_225073_19930429_00000000000000000000;526;8;914;1084;738;187;2955;124;66870000;COXIM;0;0;29/04/1993;9;-18.508.158.838.633.000;-5.476.266.594.647.040;-0.66030881;68;0;LANDSAT_5;51.329.483;50.482.128;18;32;"{""type"":""MultiPoint"",""coordinates"":[]}"
1_LT05_225073_19930531_00000000000000000000;597;8;972;1174;631;251;2915;143;66870000;COXIM;62;0;31/05/1993;9;-18.508.158.838.633.000;-5.476.266.594.647.040;-0.608118657;68;0;LANDSAT_5;44.524.979;55.494.564;61;32;"{""type"":""MultiPoint"",""coordinates"":[]}"
1_LT05_225073_19930616_00000000000000000000;612;8;927;1123;826;416;2888;259;66870000;COXIM;3;0;16/06/1993;7;-18.508.158.838.633.000;-5.476.266.594.647.040;-0.380491437;68;0;LANDSAT_5;43.895.744;56.967.327;38;32;"{""type"":""MultiPoint"",""coordinates"":[]}"
1_LT05_225073_19930718_00000000000000000000;548;8;898;929;600;260;2906;148;66870000;COXIM;13;0;18/07/1993;7;-18.508.158.838.633.000;-5.476.266.594.647.040;-0.550949914;68;0;LANDSAT_5;47.028.908;56.262.363;11;32;"{""type"":""MultiPoint"",""coordinates"":[]}"
1_LT05_225073_19930803_00000000000000000000;616;8;884;994;601;204;2920;135;66870000;COXIM;0;0;03/08/1993;9;-18.508.158.838.633.000;-5.476.266.594.647.040;-0.625;68;0;LANDSAT_5;50.275.158;53.912.231;9;32;"{""type"":""MultiPoint"",""coordinates"":[]}"
1_LT05_225073_19930819_00000000000000000000;1113;8;1317;1306;1337;540;2865;360;66870000;COXIM;73;0;19/08/1993;9;-18.508.158.838.633.000;-5.476.266.594.647.040;-0.418416801;66;0;LANDSAT_5;54.454.735;50.435.802;560;32;"{""type"":""MultiPoint"",""coordinates"":[]}"
