system:index;B1_median;B2_count;B2_median;B3_median;B4_median;B5_median;B6_median;B7_median;Codigo;Estacao;cloud_cover;cloud_qa_count;date;img_qual;lat;lon;nd_median;pixel_qa_median;radsat_qa_median;sensor;solar_az;solar_zen;sr_atmos_opacity_median;sr_cloud_qa_median;.geo
1_LT05_225073_19870920_00000000000000000000;987.0;2;1187.0;1133.0;1284.0;667.0;2981.0;414.0;66845000;PEDRO GOMES;5.0;0;20/07/1987;9.0;-18.165.530.436.855.800;-5.447.137.071.160.160;-0.28047464940668826;66.0;0.0;LANDSAT_5;64.823.936;40.926.388;465.0;1.0;"{""type"":""MultiPoint"",""coordinates"":[]}"
1_LT05_225073_19870920_00000000000000000001;1102.0;4;1262.0;1240.0;1190.0;429.0;2947.0;289.0;66870000;COXIM;5.0;0;20/07/1987;9.0;-1.850.815.884.307.570;-5.476.266.594.700.550;-0.4926079243051449;96.0;0.0;LANDSAT_5;64.823.936;40.926.388;579.0;32.0;"{""type"":""MultiPoint"",""coordinates"":[]}"
1_LT05_225073_19871006_00000000000000000001;840.0;4;1130.0;1375.0;1373.0;286.0;2929.0;202.0;66870000;COXIM;62.0;0;06/07/1987;9.0;-1.850.815.884.307.570;-5.476.266.594.700.550;-0.596045197740113;66.0;0.0;LANDSAT_5;72.516.624;36.746.975;208.0;32.0;"{""type"":""MultiPoint"",""coordinates"":[]}"
1_LT05_225073_19871123_00000000000000000000;391.0;3;721.0;714.0;1039.0;511.0;2973.0;189.0;66845000;PEDRO GOMES;0.0;0;23/08/1987;9.0;-18.165.530.436.855.800;-5.447.137.071.160.160;-0.17045454545454544;66.0;0.0;LANDSAT_5;98.495.468;32.234.798;23.0;1.0;"{""type"":""MultiPoint"",""coordinates"":[]}"
1_LT05_225073_19871123_00000000000000000001;412.0;4;815.0;913.0;585.0;179.0;2964.0;87.0;66870000;COXIM;0.0;0;23/08/1987;9.0;-1.850.815.884.307.570;-5.476.266.594.700.550;-0.6278586278586279;68.0;0.0;LANDSAT_5;98.495.468;32.234.798;35.0;32.0;"{""type"":""MultiPoint"",""coordinates"":[]}"
1_LT05_225073_19871225_00000000000000000000;505.0;3;835.0;965.0;1423.0;620.0;2977.0;297.0;66845000;PEDRO GOMES;1.0;0;25/08/1987;9.0;-18.165.530.436.855.800;-5.447.137.071.160.160;-0.14776632302405499;66.0;0.0;LANDSAT_5;104.219.147;35.187.366;71.0;1.0;"{""type"":""MultiPoint"",""coordinates"":[]}"
1_LT05_225073_19871225_00000000000000000001;498.0;4;840.0;1057.0;707.0;158.0;2990.0;124.0;66870000;COXIM;1.0;0;25/08/1987;9.0;-1.850.815.884.307.570;-5.476.266.594.700.550;-0.6833667334669339;68.0;0.0;LANDSAT_5;104.219.147;35.187.366;51.0;32.0;"{""type"":""MultiPoint"",""coordinates"":[]}"
1_LT05_225073_19880110_00000000000000000000;278.0;4;488.0;477.0;985.0;311.0;2929.0;91.0;66845000;PEDRO GOMES;16.0;0;10/09/1988;9.0;-18.165.530.436.855.800;-5.447.137.071.160.160;-0.14794520547945206;66.0;0.0;LANDSAT_5;101.919.357;36.859.055;61.0;0.0;"{""type"":""MultiPoint"",""coordinates"":[]}"
1_LT05_225073_19880110_00000000000000000001;626.0;4;1068.0;1508.0;1616.0;135.0;2924.0;55.0;66870000;COXIM;16.0;0;10/09/1988;9.0;-1.850.815.884.307.570;-5.476.266.594.700.550;-0.7755610972568578;66.0;0.0;LANDSAT_5;101.919.357;36.859.055;71.0;32.0;"{""type"":""MultiPoint"",""coordinates"":[]}"
1_LT05_225073_19880126_00000000000000000001;567.0;4;1033.0;1395.0;1475.0;217.0;2933.0;131.0;66870000;COXIM;29.0;0;26/09/1988;9.0;-1.850.815.884.307.570;-5.476.266.594.700.550;-0.6528;66.0;0.0;LANDSAT_5;96.836.319;38.259.983;74.0;0.0;"{""type"":""MultiPoint"",""coordinates"":[]}"
