system:index;B1_median;B2_count;B2_median;B3_median;B4_median;B5_median;B6_median;B7_median;cloud_cover;cloud_qa_count;date;img_qual;station_nm;site_no;lat;lon;nd_median;pixel_qa_median;radsat_qa_median;sensor;snow_ice_qa_count;solar_az;solar_zen;sr_atmos_opacity_median;sr_cloud_qa_median;.geo
1_LT05_225072_19910830_00000000000000000003;1047;5;1272;1231;1224;598;2955;286;3;149;30/08/1991;7;Garimpagem;66855001;-1.871.519.047;-5.456.449.904;-0.079019074;96;0;LANDSAT_5;0;96.546.921;33.041.355;141;8;
1_LT05_225072_19910830_00000000000000000004;1109;57;1315;1316;1232;471;2942;240;3;98;30/08/1991;7;Garimpagem;66855001;-1.871.519.047;-5.456.449.904;-0.196538937;66;0;LANDSAT_5;0;92.424.431;40.344.326;116;0;
1_LT05_225072_19911118_00000000000000000003;508;22;840;909;1287;533;2960;221;3;0;18/11/1991;9;Garimpagem;66855001;-1.871.519.047;-5.456.449.904;-0.172775507;66;0;LANDSAT_5;0;66.602.974;4.468.457;41;1;
1_LT05_225072_19911204_00000000000000000003;446;15;744;1004;1429;414;2964;153;29;0;04/12/1991;9;Garimpagem;66855001;-1.871.519.047;-5.456.449.904;-0.25388601;66;0;LANDSAT_5;0;47.332.943;52.546.158;10;1;
1_LT05_225072_19920528_00000000000000000003;456;18;785;787;886;391;2947;192;0;0;28/05/1992;9;Garimpagem;66855001;-1.871.519.047;-5.456.449.904;-0.171834625;68;0;LANDSAT_5;0;43.745.102;56.664.768;8;1;
1_LT05_225072_19920613_00000000000000000003;472;19;782;832;865;482;2938;199;0;0;13/06/1992;9;Garimpagem;66855001;-1.871.519.047;-5.456.449.904;-0.186315187;68;0;LANDSAT_5;0;49.617.924;54.366.219;9;32;
1_LT05_225072_19921019_00000000000000000003;499;17;837;901;1213;539;2933;235;23;0;19/10/1992;9;Garimpagem;66855001;-1.871.519.047;-5.456.449.904;-0.270588235;68;0;LANDSAT_5;0;53.671.993;51.103.012;97;32;
1_LT05_225072_19921222_00000000000000000003;412;23;846;1054;1289;440;2955;200;3;0;22/12/1992;9;Garimpagem;66855001;-1.871.519.047;-5.456.449.904;-0.252336449;68;0;LANDSAT_5;0;64.850.044;42.613.506;117;32;
1_LT05_225072_19930312_00000000000000000003;467;19;815;898;1201;521;2942;264;1;0;12/03/1993;7;Garimpagem;66855001;-1.871.519.047;-5.456.449.904;-0.143021915;66;0;LANDSAT_5;0;8.106.234;35.454.449;45;1;
1_LT05_225072_19930413_00000000000000000003;401;21;795;1080;1289;393;2947;162;0;0;13/04/1993;9;Garimpagem;66855001;-1.871.519.047;-5.456.449.904;-0.222891566;68;0;LANDSAT_5;0;104.290.848;36.689.224;9;1;
1_LT05_225072_19930429_00000000000000000003;405;23;712;761;1114;444;2951;216;0;0;29/04/1993;9;Garimpagem;66855001;-1.871.519.047;-5.456.449.904;-0.270471464;66;0;LANDSAT_5;0;83.122.643;42.234.943;99;1;
1_LT05_225072_19930531_00000000000000000003;663;23;814;770;1070;472;2920;192;58;0;31/05/1993;9;Garimpagem;66855001;-1.871.519.047;-5.456.449.904;-0.355642023;68;0;LANDSAT_5;0;74.219.727;43.596.752;10;32;
1_LT05_225072_19930616_00000000000000000003;533;11;758;840;931;604;2888;311;0;0;16/06/1993;7;Garimpagem;66855001;-1.871.519.047;-5.456.449.904;-0.272871917;68;0;LANDSAT_5;0;57.599.594;47.771.332;9;32;
1_LT05_225072_19930718_00000000000000000003;638;3;939;961;983;715;2883;475;3;0;18/07/1993;9;Garimpagem;66855001;-1.871.519.047;-5.456.449.904;-0.173016397;67;0;LANDSAT_5;0;51.329.483;50.482.128;9;16.5;
1_LT05_225072_19930803_00000000000000000003;536;17;766;810;699;484;2938;235;0;0;03/08/1993;9;Garimpagem;66855001;-1.871.519.047;-5.456.449.904;-0.129533679;66;0;LANDSAT_5;0;44.524.979;55.494.564;11;1;
1_LT05_225072_19930819_00000000000000000003;1222;17;1360;1330;1549;718;2883;409;46;0;19/08/1993;7;Garimpagem;66855001;-1.871.519.047;-5.456.449.904;-0.178784267;68;0;LANDSAT_5;0;43.895.744;56.967.327;18;32;
