station_nm,sensor,site_no,Latitude,Longitude,num_pix,landsat_dt,B1,B2,B3,B4,B5,B6,B7,B2.B1,B2.B1,B3.B1,B4.B1,B5.B1,B7.B1,B3.B2,B4.B2,B5.B2,B7.B2,B4.B3,B5.B3,B7.B3,B5.B4,B7.B4,B7.B5,B1.2,B2.2,B3.2,B4.2,B5.2,B7.2,nd52,cloud_cover,match_dt_start,match_dt_end,B4.B3.B1,cluster
Pedro Gomes,Landsat 7,66845000,-18.16553046,-54.47137071,26,2001-01-05,0.096801698,0.090455376,0.100145169,0.144254968,0.040743932,NA,0.017352102,0.934439972323626,0.934439972323626,1.0345393838029577,1.4902111324534824,0.42090100526955626,0.1792541077120362,1.1071223561107082,1.5947638977256586,0.4504312933263358,0.19183052204658352,1.4404585806830084,0.4068487018080722,0.17326948641926002,0.28244387396072207,0.12028772554994431,0.4258818711949549,0.009370568735683205,0.008182175047301376,0.010029054874038563,0.020809495792681026,0.0016600679948206238,3.0109544381840404e-4,-0.356330706,2,2000-12-28,2001-01-13,14.88050943778908,1
Pedro Gomes,Landsat 7,66845000,-18.16553046,-54.47137071,22,2001-01-21,0.111032322,0.10456986,0.101947263,0.159983277,0.074529372,NA,0.035276636,0.9417965698312605,0.9417965698312605,0.9181764477554563,1.4408712176621867,0.6712403258575462,0.31771501635352634,0.9749201442939677,1.5299176741749487,0.712723264619461,0.3373499400305212,1.5692748612584138,0.7310580961844949,0.34602827934674424,0.4658572658191018,0.22050202159566964,0.47332528174261285,0.012328176528711685,0.0109348556204196,0.010393244433191168,0.025594648919658732,0.0055546272907143835,0.001244441047476496,-0.167730969,30,2001-01-13,2001-01-29,14.133495841493918,1
Pedro Gomes,Landsat 7,66845000,-18.16553046,-54.47137071,29,2001-02-06,0.103188097,0.100136712,0.093282886,0.136182144,0.061175406,NA,0.025961548,0.9704289051866127,0.9704289051866127,0.9040082016436449,1.319746637056404,0.592853321056982,0.25159440628118185,0.9315553121017194,1.3599622084655625,0.6109188606072866,0.2592610390482963,1.4598834774472995,0.65580524599121,0.2783098713305247,0.4492175273727516,0.1906384143871314,0.42437884270028386,0.01064778336248141,0.010027361090170944,0.008701696820488995,0.018545576344436737,0.003742430299264836,6.740019745563041e-4,-0.245661538,58,2001-01-29,2001-02-14,14.147789521181881,1
Pedro Gomes,Landsat 7,66845000,-18.16553046,-54.47137071,28,2001-02-22,0.11695607,0.107163608,0.104522593,0.159610569,0.068940379,NA,0.034662604,0.9162723063454509,0.9162723063454509,0.8936910499814161,1.3647053034528265,0.5894553313906666,0.2963728517895651,0.9753552997207784,1.4894101829792816,0.6433189427515356,0.32345499229551883,1.5270437177156522,0.6595739449364789,0.3316278615475986,0.43192865880955533,0.21716985420934123,0.502791027592117,0.013678722309844899,0.011484038879577663,0.010924972447443648,0.025475533736503762,0.00475277585666364,0.001201496116060816,-0.194772534,50,2001-02-14,2001-03-02,13.056558053939845,1
Pedro Gomes,Landsat 7,66845000,-18.16553046,-54.47137071,26,2001-03-26,0.094249874,0.08511664,0.083853833,0.108649932,0.036967076,NA,0.010949603,0.9030955309287734,0.9030955309287734,0.8896970302580989,1.1527859655281874,0.39222414238983494,0.11617631446382624,0.9851638058081241,1.276482859285799,0.4343107998624006,0.12864233127623462,1.295706208206368,0.4408513561926263,0.13057963611514337,0.3402402129437136,0.10077873771701946,0.29619878510272224,0.008883038749015875,0.007244842404889599,0.007031465308791889,0.011804807723604625,0.0013665647079897762,1.1989380585760901e-4,-0.376655041,8,2001-03-18,2001-04-03,13.747564354371105,1
Pedro Gomes,Landsat 7,66845000,-18.16553046,-54.47137071,5,2001-04-11,0.107318133,0.085923702,0.067472078,0.133576632,0.067943938,NA,0.029860683,0.8006447708142669,0.8006447708142669,0.6287108815059241,1.2446790515820845,0.6331077153569192,0.27824452555468887,0.7852557144244088,1.5545958669238902,0.790747330695784,0.34752556401724866,1.9797320011397899,1.006993411407901,0.44256355940304665,0.5086513784836257,0.22354720696955438,0.4394900248496047,0.011517181670605689,0.007382882565384804,0.004552481309638085,0.017842716616463423,0.004616378710947843,8.916603892264889e-4,-0.116852143,49,2001-04-03,2001-04-19,18.447320558025268,1
Pedro Gomes,Landsat 7,66845000,-18.16553046,-54.47137071,26,2001-04-27,0.091685995,0.083618358,0.084669724,0.088917755,0.031088438,NA,0.012258038,0.9120079680653518,0.9120079680653518,0.9234749974628077,0.9698073844320498,0.3390751008373743,0.13369586052918986,1.0125733872937328,1.0633759993230194,0.37178962543129584,0.14659505751117477,1.0501717827732615,0.36717301688617765,0.14477474852758468,0.3496313868923029,0.13785815892450276,0.3942957185562041,0.008406321679140027,0.006992029794616165,0.007168962162236176,0.007906367154240024,9.664909772798439e-4,1.5025949560944403e-4,-0.443118246,0,2001-04-19,2001-05-05,11.454004319561143,1
Pedro Gomes,Landsat 7,66845000,-18.16553046,-54.47137071,26,2001-05-29,0.09612745,0.08379738,0.09392269,0.104178667,0.032337915,NA,0.013901475,0.8717320598850796,0.8717320598850796,0.9770641996640917,1.0837556494008735,0.3364066663580486,0.14461503972070414,1.1208308660724238,1.2432210529732552,0.38590603906709253,0.1658939098095907,1.10919594615529,0.3443035436910932,0.1480097620713376,0.3104082239792913,0.13343878742468454,0.42988161110572526,0.0092404866435025,0.007022000894864401,0.0088214716968361,0.01085319465789689,0.0010457407465472252,1.93251007175625e-4,-0.421108328,0,2001-05-21,2001-06-06,11.538805472893435,1
Pedro Gomes,Landsat 7,66845000,-18.16553046,-54.47137071,29,2001-06-14,0.100176208,0.085026674,0.073927842,0.09261132,0.039782375,NA,0.01736819,0.8487711373542907,0.8487711373542907,0.7379780436488471,0.9244841849074582,0.3971239857671594,0.1733763969185178,0.8694664688401195,1.089203136418108,0.4678811145782323,0.20426754549989806,1.252725867474936,0.5381243916196012,0.23493435666632878,0.4295627683527241,0.18753852120885436,0.4365800181613088,0.010035272649259264,0.007229535291502275,0.005465325822776963,0.0085768565921424,0.0015826373606406252,3.0165402387609993e-4,-0.347257067,0,2001-06-06,2001-06-22,12.505223470576325,1
Pedro Gomes,Landsat 7,66845000,-18.16553046,-54.47137071,30,2001-06-30,0.107550062,0.090673067,0.076999664,0.096924014,0.04640168,NA,0.02048596,0.8430777752596739,0.8430777752596739,0.7159425347425648,0.9011990527722802,0.43144261506794856,0.1904783653216304,0.8492010532741767,1.0689394018181828,0.5117471100872766,0.22593213925365513,1.258758921337631,0.6026218504018408,0.2660525895281829,0.47874286345590267,0.21136103587290556,0.44149177357371544,0.011567015836203844,0.008221605079186489,0.0059289482561128955,0.009394264489872196,0.0021531159068224,0.00041967455712160003,-0.29392115,0,2001-06-22,2001-07-08,11.70393487395322,1
