site_no,sample_date,station_nm,sensor,Latitude,Longitude,num_pix,landsat_dt,B1,B2,B3,B4,B5,B6,B7,B2.B1,B2.B1.1,B3.B1,B4.B1,B5.B1,B7.B1,B3.B2,B4.B2,B5.B2,B7.B2,B4.B3,B5.B3,B7.B3,B5.B4,B7.B4,B7.B5,B1.2,B2.2,B3.2,B4.2,B5.2,B7.2,nd52,cloud_cover,cloud_qa_count,ndssi,nsmi,index_montaigner_2014,bi,B3_B2_B1,match_dt_start,match_dt_end,EstacaoCodigo,NomeEstacao,Data,Hora,Largura,ConcentracaoMatSuspensao,lag_days,log10_SSC_mgL,abs_lag_days
66255000,22/06/2001,ACORIZAL,Landsat 7,-15.205521214947284,-56.36557454405531,26,2001-06-21,259,415,365,247,120,2892,95,1.6023166023166022,1.6023166023166022,1.4092664092664093,0.9536679536679536,0.46332046332046334,0.3667953667953668,0.8795180722891566,0.5951807228915663,0.2891566265060241,0.2289156626506024,0.6767123287671233,0.3287671232876712,0.2602739726027397,0.48582995951417,0.38461538461538464,0.7916666666666666,67081,172225,133225,61009,14400,9025,-0.5721925133689839,8,0,-0.023715415019762844,0.5014436958614052,0.9080118694362018,390.80046059338264,0.5415430267062314,2001-06-22,2001-06-22,66255000,Acorizal,22/06/2001,01/01/1900 07:00,125.8,18,1,1.255272505103306,1
66255000,03/04/2001,ACORIZAL,Landsat 7,-15.205521214947284,-56.36557454405531,12,2001-04-02,389,692,757,541,236,2913,124,1.7789203084832905,1.7789203084832905,1.9460154241645244,1.3907455012853471,0.6066838046272494,0.31876606683804626,1.0939306358381502,0.7817919075144508,0.34104046242774566,0.1791907514450867,0.714663143989432,0.31175693527080584,0.16380449141347425,0.43622920517560076,0.22920517560073936,0.5254237288135594,151321,478864,573049,292681,55696,15376,-0.5026343519494204,57,18,0.16344086021505377,0.5767138193688792,1.2007400555041627,725.2285846545212,0.700277520814061,2001-04-03,2001-04-03,66255000,Acorizal,03/04/2001,01/01/1900 07:00,128.2,81.3,1,1.9100905455940682,1
66255000,06/02/2001,ACORIZAL,Landsat 5,-15.205521214947284,-56.36557454405531,4,2001-02-05,734,1043,1075,1292,743,2836,490,1.4209809264305178,1.4209809264305178,1.4645776566757494,1.7602179836512262,1.0122615803814714,0.667574931880109,1.0306807286673059,1.2387344199424737,0.7123681687440077,0.4697986577181208,1.201860465116279,0.6911627906976744,0.4558139534883721,0.5750773993808049,0.37925696594427244,0.6594885598923284,538756,1087849,1155625,1669264,552049,240100,-0.167973124300112,27,11,0.2754195459032576,0.485273492286115,1.3320202588632526,1059.120861847221,0.6049521665728756,2001-02-06,2001-02-06,66255000,Acorizal,06/02/2001,01/01/1900 07:00,128.4,85,1,1.9294189257142926,1
66255000,07/11/2000,ACORIZAL,Landsat 5,-15.205521214947284,-56.36557454405531,9,2000-11-08,799,1361,1715,1322,447,2929,283,1.7033792240300376,1.7033792240300376,2.146433041301627,1.6545682102628285,0.5594493116395495,0.3541927409261577,1.2601028655400441,0.9713445995591476,0.328434974283615,0.20793534166054373,0.7708454810495626,0.2606413994169096,0.16501457725947521,0.3381240544629349,0.2140695915279879,0.6331096196868009,638401,1852321,2941225,1747684,199809,80089,-0.48580786026200873,12,17,0.24658180103724658,0.5876129032258065,1.4060185185185186,1548.1514783767122,0.7939814814814815,2000-11-07,2000-11-07,66255000,Acorizal,07/11/2000,01/01/1900 07:00,130.7,249.3,-1,2.3967222785037734,1
66255000,15/11/1999,ACORIZAL,Landsat 7,-15.205521214947284,-56.36557454405531,30,1999-11-14,639,1055,1289,731,264,2955,170,1.6510172143974962,1.6510172143974962,2.0172143974960877,1.1439749608763694,0.4131455399061033,0.26604068857589985,1.2218009478672986,0.6928909952606636,0.2502369668246445,0.16113744075829384,0.5671062839410396,0.20480993017843288,0.13188518231186966,0.36114911080711354,0.23255813953488372,0.6439393939393939,408321,1113025,1661521,534361,69696,28900,-0.599696739954511,4,0,0.06715328467153285,0.5715722427086826,1.192443919716647,1177.8255388638845,0.7609208972845336,1999-11-15,1999-11-15,66255000,Acorizal,15/11/1999,01/01/1900 07:00,127,81.3,1,1.9100905455940682,1
66255000,12/10/1999,ACORIZAL,Landsat 7,-15.205521214947284,-56.36557454405531,15,1999-10-13,880,1018,919,966,519,2934,335,1.1568181818181817,1.1568181818181817,1.044318181818182,1.0977272727272727,0.5897727272727272,0.3806818181818182,0.9027504911591355,0.9489194499017681,0.5098231827111984,0.3290766208251473,1.0511425462459194,0.5647442872687704,0.3645266594124048,0.5372670807453416,0.34679089026915116,0.6454720616570327,774400,1036324,844561,933156,269361,112225,-0.324658425504229,72,13,0.04658721560130011,0.3752218672346468,0.9931506849315068,969.7641465841062,0.48419388830347737,1999-10-12,1999-10-12,66255000,Acorizal,12/10/1999,01/01/1900 07:00,127.2,17.7,-1,1.2479732663618066,1
66162000,03/02/2015,UHE MANSO MONTANTE,Landsat 7,-14.813588527854664,-55.27629642051745,8,2015-02-04,447,772,791,1333,521,2929,274,1.7270693512304252,1.7270693512304252,1.7695749440715884,2.982102908277405,1.1655480984340045,0.6129753914988815,1.0246113989637307,1.7266839378238341,0.6748704663212435,0.3549222797927461,1.6852085967130215,0.6586599241466498,0.3463969658659924,0.390847711927982,0.20555138784696175,0.525911708253359,199809,595984,625681,1776889,271441,75076,-0.2138728323699422,15,0,0.49775280898876406,0.5552238805970149,1.7424118129614439,781.5577393897395,0.6488925348646432,2015-02-03,2015-02-03,66162000,UHE Manso Montante,03/02/2015,01/01/1900 07:00,46.9,43.8,-1,1.6414741105040995,1
66162000,07/06/2008,UHE MANSO MONTANTE,Landsat 7,-14.813588527854664,-55.27629642051745,4,2008-06-08,157,323,215,831,265,2950,92,2.0573248407643314,2.0573248407643314,1.3694267515923566,5.292993630573249,1.6878980891719746,0.5859872611464968,0.6656346749226006,2.5727554179566563,0.8204334365325078,0.2848297213622291,3.8651162790697673,1.2325581395348837,0.42790697674418604,0.31889290012033694,0.11070998796630566,0.3471698113207547,24649,104329,46225,690561,70225,8464,-0.09292035398230089,1,0,0.6821862348178138,0.5482014388489208,2.1791666666666667,274.3665431498527,0.4479166666666667,2008-06-07,2008-06-07,66162000,UHE Manso Montante,07/06/2008,01/01/1900 07:00,45.4,29,-1,1.462397997898956,1
66162000,06/09/2006,UHE MANSO MONTANTE,Landsat 7,-14.813588527854664,-55.27629642051745,4,2006-09-07,502,596,518,1130,401,2965,194,1.1872509960159363,1.1872509960159363,1.0318725099601593,2.250996015936255,0.798804780876494,0.38645418326693226,0.8691275167785235,1.895973154362416,0.6728187919463087,0.32550335570469796,2.1814671814671813,0.7741312741312741,0.3745173745173745,0.3548672566371681,0.17168141592920355,0.4837905236907731,252004,355216,268324,1276900,160801,37636,-0.17827868852459017,3,0,0.38480392156862747,0.3787128712871287,1.5009107468123861,558.3636807672934,0.47176684881602915,2006-09-06,2006-09-06,66162000,UHE Manso Montante,06/09/2006,01/01/1900 07:00,39,24,-1,1.380211241711606,1
66162000,06/06/2004,UHE MANSO MONTANTE,Landsat 5,-14.813588527854664,-55.27629642051745,5,2004-06-05,253,482,376,634,378,2947,168,1.9051383399209487,1.9051383399209487,1.4861660079051384,2.505928853754941,1.4940711462450593,0.6640316205533597,0.7800829875518672,1.3153526970954357,0.7842323651452282,0.34854771784232363,1.6861702127659575,1.0053191489361701,0.44680851063829785,0.5962145110410094,0.26498422712933756,0.4444444444444444,64009,232324,141376,401956,142884,28224,-0.06781750924784218,0,0,0.4295377677564825,0.5445544554455446,1.3741496598639455,432.26149493101974,0.5115646258503401,2004-06-06,2004-06-06,66162000,UHE Manso Montante,06/06/2004,01/01/1900 07:00,45,47,1,1.6720978579357175,1
